\Pi_{0}=\frac{\lambda_{1}*W_{1}}{c_{1}},\Pi_{1}=\frac{\mu_{1}}{\lambda_{1}},\Pi_{2}=\frac{\chi_{1}}{\lambda_{1}},\Pi_{3}=\frac{K_{1}}{c_{1}},\Pi_{4}=\frac{L_{1}}{c_{1}},\Pi_{5}=\frac{\lambda_{2}*W_{2}}{c_{2}},\Pi_{6}=\frac{\mu_{2}}{\lambda_{2}},\Pi_{7}=\frac{\chi_{2}}{\lambda_{2}},\Pi_{8}=\frac{K_{2}}{c_{2}},\Pi_{9}=\frac{L_{2}}{c_{2}},\Pi_{10}=\frac{\lambda_{3}*W_{3}}{c_{3}},\Pi_{11}=\frac{\mu_{3}}{\lambda_{3}},\Pi_{12}=\frac{\chi_{3}}{\lambda_{3}},\Pi_{13}=\frac{K_{3}}{c_{3}},\Pi_{14}=\frac{L_{3}}{c_{3}},\Pi_{15}=\frac{\lambda_{4}*W_{4}}{c_{4}},\Pi_{16}=\frac{\mu_{4}}{\lambda_{4}},\Pi_{17}=\frac{\chi_{4}}{\lambda_{4}},\Pi_{18}=\frac{K_{4}}{c_{4}},\Pi_{19}=\frac{L_{4}}{c_{4}},\Pi_{20}=\frac{\lambda_{5}*W_{5}}{c_{5}},\Pi_{21}=\frac{\mu_{5}}{\lambda_{5}},\Pi_{22}=\frac{\chi_{5}}{\lambda_{5}},\Pi_{23}=\frac{K_{5}}{c_{5}},\Pi_{24}=\frac{L_{5}}{c_{5}},\Pi_{25}=\frac{\lambda_{6}*W_{6}}{c_{6}},\Pi_{26}=\frac{\mu_{6}}{\lambda_{6}},\Pi_{27}=\frac{\chi_{6}}{\lambda_{6}},\Pi_{28}=\frac{K_{6}}{c_{6}},\Pi_{29}=\frac{L_{6}}{c_{6}},\Pi_{30}=\frac{\lambda_{7}*W_{7}}{c_{7}},\Pi_{31}=\frac{\mu_{7}}{\lambda_{7}},\Pi_{32}=\frac{\chi_{7}}{\lambda_{7}},\Pi_{33}=\frac{K_{7}}{c_{7}},\Pi_{34}=\frac{L_{7}}{c_{7}},\Pi_{35}=\frac{\lambda_{8}*W_{8}}{c_{8}},\Pi_{36}=\frac{\mu_{8}}{\lambda_{8}},\Pi_{37}=\frac{\chi_{8}}{\lambda_{8}},\Pi_{38}=\frac{K_{8}}{c_{8}},\Pi_{39}=\frac{L_{8}}{c_{8}},\Pi_{40}=\frac{\lambda_{9}*W_{9}}{c_{9}},\Pi_{41}=\frac{\mu_{9}}{\lambda_{9}},\Pi_{42}=\frac{\chi_{9}}{\lambda_{9}},\Pi_{43}=\frac{K_{9}}{c_{9}},\Pi_{44}=\frac{L_{9}}{c_{9}},\Pi_{45}=\frac{\lambda_{10}*W_{10}}{c_{10}},\Pi_{46}=\frac{\mu_{10}}{\lambda_{10}},\Pi_{47}=\frac{\chi_{10}}{\lambda_{10}},\Pi_{48}=\frac{K_{10}}{c_{10}},\Pi_{49}=\frac{L_{10}}{c_{10}},\Pi_{50}=\frac{\lambda_{11}*W_{11}}{c_{11}},\Pi_{51}=\frac{\mu_{11}}{\lambda_{11}},\Pi_{52}=\frac{\chi_{11}}{\lambda_{11}},\Pi_{53}=\frac{K_{11}}{c_{11}},\Pi_{54}=\frac{L_{11}}{c_{11}},\Pi_{55}=\frac{\lambda_{12}*W_{12}}{c_{12}},\Pi_{56}=\frac{\mu_{12}}{\lambda_{12}},\Pi_{57}=\frac{\chi_{12}}{\lambda_{12}},\Pi_{58}=\frac{K_{12}}{c_{12}},\Pi_{59}=\frac{L_{12}}{c_{12}},\Pi_{60}=\frac{\lambda_{13}*W_{13}}{c_{13}},\Pi_{61}=\frac{\mu_{13}}{\lambda_{13}},\Pi_{62}=\frac{\chi_{13}}{\lambda_{13}},\Pi_{63}=\frac{K_{13}}{c_{13}},\Pi_{64}=\frac{L_{13}}{c_{13}}
138020.0122594802,1.877421913770307,1.0,4.5,2.130106538313035,39630.364684796674,0.7228073736969578,1.0,10.0,2.2891540827481767,52402.595589497614,0.12555420910961873,1.0,6.0,0.0630254857793131,14735.736918033066,0.43370944343900486,1.0186026204836613,7.0,0.7558496891994895,35135.143539563906,0.04765643990207547,1.0518686169274536,8.0,0.050041226599261815,3181.3466769290458,1.7700716847946558,1.075012612655032,11.0,4.892606629877847,56953.63385784263,0.034220273394995254,1.051319695866453,13.0,0.03543279326776658,10603.91291936258,0.20284026416426912,1.0025294638395281,8.0,0.2544484934022305,165420.9701653941,0.011922925003209907,1.0430179584955555,7.0,0.005961674373760123,234933.05844204905,0.3314190098443055,1.0,14.0,0.4957041460235346,337947.103033905,0.6258527521429353,1.0382514066127857,4.5,0.34682844002673896,109675.87136437441,0.2844901326628238,1.0,8.0,0.39749490169665047,29528.42849089225,0.6269890758771821,1.0,11.0,1.636433046707744
919658.2509926581,0.3746986656283193,1.0,5.0,0.19416437009129492,394957.1259059606,0.1548693784254261,1.0,4.5,0.07790179853817124,201500.36928099362,0.11872761911226622,1.0,5.5,0.0595737511418581,4755.761071033844,1.5703693363169586,1.098769213327377,7.0,3.2314746832699472,74601.89389269541,0.0854994937614692,1.0653417036291843,6.0,0.09349287328853796,10200.054707427389,1.1469655352527681,1.1658026354764266,4.0,0.8173801588417153,34123.256576896725,0.08001012012737484,1.0028752427838876,12.0,0.08696847854281459,5065.287409471796,0.554134987439981,1.021244324223293,13.0,1.2392266807434726,108893.0805723307,0.030888253065928933,1.0954427835667346,6.0,0.03187274633876621,117866.61406631752,0.5492222971597386,1.0,8.0,1.1772776061834473,245132.34099300663,0.14679124402906107,1.0218740495176115,5.0,0.07379313955352043,115043.945571593,0.08360827203224595,1.0,13.0,0.09123638885048677,4526.50769066718,0.45391489656866957,1.0,4.5,0.23927993041843532
93991.076827127,0.7768046079966686,1.0,10.0,2.751445130329334,286698.31548322196,0.8950543219704581,1.0,4.0,0.5552776598004439,126405.37732017509,0.18505916800618777,1.0,11.0,0.2270829303963796,51508.705883438866,0.24466886323276782,1.0784421870951069,5.5,0.12419306935136512,90128.43147296354,0.13990371844297003,1.024125910117957,14.0,0.16266053166479952,12957.6499424335,1.7846363511201064,1.0110340892265135,7.0,2.66013983908322,139645.3022621053,0.08861262192558712,1.0124703470585812,7.0,0.09722824381776761,13245.495591770145,0.3261883986007032,1.0089904341992593,15.0,0.48409410115435036,277199.396041361,0.04543921168174062,1.0944999364748034,4.5,0.022731339314725884,166070.60397972097,0.10986154050791615,1.0,10.0,0.12342073197812817,27931.714644491192,2.136773460986928,1.0405011932722923,3.5,1.7453781704864595,104860.32054598596,1.0941969466596422,1.0,4.5,0.765780815881194,6306.942579360783,0.539591488775255,1.0,15.0,1.1711577863592113
26436.182660495997,0.8229818317150246,1.0,6.0,2.2443202796444033,307835.4420526291,0.25081219917616177,1.0,15.0,0.33477880440758884,167770.48254443964,0.7079562059749441,1.0,5.5,0.40465183040883107,4453.182901497946,0.0572910036077963,1.0933819762498187,13.0,0.060772734562894684,82119.44913199154,0.22208287516367414,1.0529818204105141,15.0,0.2854839771969196,9255.185601623785,3.1392111680386035,1.172376172884682,5.5,2.5870119363459763,32337.33538338323,0.029857106613909213,1.0494501950137873,10.0,0.03077598858627799,43086.79030327588,0.10108120843947493,1.0101465130207232,10.0,0.11244754173255139,103989.14042701031,0.021311900350727803,1.093163996570132,7.0,0.021775988037488186,112938.39856235782,0.06926584206990666,1.0,15.0,0.07442065113839859,169523.4808920382,0.08084286884845969,1.0180821611254278,3.5,0.040487586728453234,203116.84893085333,0.4579996242140634,1.0,5.0,0.24167258619666665,128570.00398310869,0.08166068960406371,1.0,7.0,0.0889221164246303
430335.72931807203,0.4141785345301103,1.0,5.5,0.21636837540657902,183543.94083501367,0.7830601800752367,1.0,4.5,0.4618253089273627,11426.925754821978,0.1650068818701276,1.0,5.5,0.08306887563244265,2518.9342179237174,1.057232268081542,1.0519463224734984,7.0,3.231474683269948,25282.2383283955,0.25800804931547633,1.0486632538916096,14.0,0.34772349274643116,11059.318300301386,1.782228659787437,1.033174195125625,7.0,2.6496946825327123,25212.054406630512,0.01839022837560003,1.021893752344813,13.0,0.018734764982185615,4400.390140622454,0.024918705180764607,1.0293319560390048,11.0,0.025555515538203552,491056.6907272374,0.07708546050412014,1.0811958913990551,4.0,0.03860007228115312,17196.626861831995,5.615473110471216,1.0,7.0,3.173776145738551,25070.275926603597,0.9853493210249998,1.042028001727573,9.0,4.078692813090228,473120.0568585855,0.1784466207763283,1.0,4.5,0.08993929878970167,18982.937526219786,0.026182701355640336,1.0,12.0,0.026886666926218078
1280421.6809931945,0.2902849397549534,1.0,6.0,0.14826588885313266,862061.3506016304,0.28110229311618196,1.0,3.5,0.14338258475890123,224484.51587813068,0.30140326003455153,1.0,14.0,0.4314407461815764,45182.21237554751,0.18152857661637162,1.0838560797888304,3.5,0.09151819633462986,37514.72595177145,0.13356061473530517,1.0542978623745793,11.0,0.15414882641731573,7262.206056428244,0.8331732928748296,1.084319878725369,9.0,3.072512408565186,65280.770337997776,0.08012171700051139,1.0525023101152042,10.0,0.08710034628757238,10068.258858753814,0.34533844400047903,1.0110457431516924,8.0,0.5268780840162096,31098.885384735477,0.05360574327384103,1.022846079478856,6.0,0.026822140499791133,315548.3190036989,0.41796736973033144,1.0,4.0,0.21852215171271036,228098.96171240803,0.32578711800288224,1.0054735753441153,15.0,0.48321079732851924,26679.695459600414,0.3240683651907264,1.0,8.0,0.4790847547110589,405841.14744465303,0.36221527378702784,1.0,5.5,0.1872494006886271
1482420.5045743808,0.4077057774112971,1.0,6.0,0.21269148539843416,431194.795499837,0.13316165948114292,1.0,5.0,0.06687729725887022,116225.08329527173,0.17028229994930333,1.0,4.5,0.08576284598589239,84309.40467553254,0.6012581985446548,1.1116498241785333,7.5,0.3304988251906616,19233.425905161854,0.057320126711849,1.0268468437869158,11.0,0.06080550602178138,9681.240566342849,0.13003869556623854,1.1330765767935782,4.5,0.0652953850284825,11725.06573045611,0.006866549127202719,1.0479184939531359,9.0,0.006914024616901363,5947.643194801078,0.03355715923977018,1.0063218498083117,9.0,0.03472234241329339,493346.47305281885,0.026928248062942726,1.0997669644402432,6.5,0.013466565285923384,286953.1889263183,0.24237628418968038,1.0,6.0,0.3195724493560408,348804.7831752408,0.43013460735862435,1.0174292422544868,7.5,0.22549745009885308,80793.46098525291,0.34990409797876104,1.0,12.0,0.5382192641213037,75125.8688802184,0.23425402216031177,1.0,12.0,0.3059160155793776
90821.15818230384,0.7896845900506511,1.0,11.0,3.0049598585448822,132116.95104827677,0.13202003244929908,1.0,6.5,0.06629890190453654,30110.05771490641,1.4925089095943789,1.0,7.5,1.60076886166707,18462.221060517717,0.0893714245611743,1.017800351902912,4.0,0.0447751198105399,56079.203141528546,0.14393419732368215,1.0288472020230297,12.0,0.16813450174864764,63982.882013381764,0.38942039449279614,1.1467059705968419,7.5,0.2023829519955173,61328.45303127665,0.058788913020588605,1.0685295592372253,7.0,0.06246092163546491,14567.451373532453,0.24024932250025996,1.0049792540544173,6.0,0.31589785796802305,372099.10437026795,0.0584869306535388,1.039358305286285,7.0,0.029268495166201825,255109.9378339921,0.9316597249528858,1.0,3.5,0.5832719909664648,28495.52942227444,0.05299239814612377,1.0494398913274499,13.0,0.055957732590937004,114570.18590198162,0.24388831767109911,1.0,8.0,0.12378488687853294,20484.887916043077,0.034554303496800776,1.0,10.0,0.03579103788224859
490551.1276312494,0.3721221085399344,1.0,7.5,0.1927332312226442,228308.27862378495,0.3203854897897117,1.0,13.0,0.47142069893547295,46284.09508820863,0.06014027717566779,1.0,8.0,0.030097353012757216,73079.94959059377,0.5278588146125267,1.0714769476177282,3.5,0.28354581587386246,2127.686653862997,1.226778578679881,1.0304383542886404,12.0,5.287190954161819,432.2554382244636,0.24284527217007543,1.0703612712978687,12.0,0.3207338773526784,18669.219396400033,0.01163594772517061,1.0237064516968675,13.0,0.011772937004729367,63399.860714696035,0.14306485063532112,1.023060114293596,8.0,0.16694922259285574,8290.518881582346,0.07179376665072036,1.0313303718403306,6.5,0.035943199237048126,67870.08511409629,0.03834812455900955,1.0,5.0,0.019181114113763997,7168.743981366619,1.060935645980968,1.0206807317784758,9.0,4.078692813090227,5728.413684073517,0.9160826448737788,1.0,11.0,4.474414028518859,45049.43122941844,0.6088662102361345,1.0,8.0,1.45196607547881
116775.22536829242,0.7166634097465086,1.0,14.0,2.427332699218535,75833.19724869785,0.06763630233259404,1.0,7.0,0.07254282769167206,143207.0635249618,0.08850157253378153,1.0,5.5,0.04433760515412504,8169.654981377274,0.3817808970645839,1.0612960289905948,5.0,0.1981092772866035,101450.79361467456,0.1261500763814889,1.034021217604942,13.0,0.14436126040493757,61911.95128175621,0.8645719203196383,1.108910552536154,7.0,0.531597489818599,30322.48787911986,0.023647832681905845,1.0332269118664754,6.0,0.024220597285709453,2317.9961664280568,0.07269494196977619,1.037628849036136,7.0,0.0783937664899878,14819.45606024789,0.4810636152068529,1.0799750940826665,11.0,0.9251748250024698,217615.15555164375,0.2266195155748976,1.0,11.0,0.2930243907974802,149859.45041058215,0.1001386173561106,1.03145429143234,6.5,0.050195144676781545,353564.8171267411,0.22687468702510838,1.0,4.0,0.11491606241855706,80499.67441118196,0.3106197434262865,1.0,9.0,0.4504946241307876
